RSO Name,Committee,Requested,Final Allocation
Active Minds at the University of Chicago,sgfc,2320,936.25
African and Caribbean Students Association,sgfc,10589,4560.6
Algo Group,sgfc,3750,0
Allied Scholars for Animal Protection UChicago,sgfc,2655,1148
Alpha Kappa Psi (Beta Epsilon),sgfc,5495,1661.25
Alpha Phi Omega,sgfc,2250,630
American Constitution Society,sgfc,16650,3972
American Red Cross of University of Chicago,sgfc,1705,936.25
Amnesty International,sgfc,0,3600
Animal Legal Defense Fund - The University of Chicago Law School,sgfc,1450,850
Ankara Magic,sgfc,665,665
Apsara,sgfc,3846,1221
Arab Student Association,sgfc,6730,3111.5
Argentine Tango Club,sgfc,27910,3622.2
Armenian Student Association,sgfc,,3461.5
ArtShould,sgfc,900,400
Asian Pacific American Medical Students Association,sgfc,1584,955.2
Asian Policy Forum,sgfc,7730,4527.9
Association for Women in Mathematics,sgfc,6800,2025
Baha'i Association of the University of Chicago,sgfc,1390,1112
Ballroom and Latin Dance Association,sgfc,8055,3642
Bite Culinary Magazine,sgfc,5680,2800
Black Action in Public Policy Studies,sgfc,7708,1732.5
Black Student Fellowship,sgfc,3223.5,1579.47
Blacklight Magazine,sgfc,1419,936.25
Blue Chips,sgfc,9928.56,1509.75
Brazilian Student Association,sgfc,3060,1223.25
Bridge Club,sgfc,13500,0
Bridgeport Free Clinic,sgfc,1100,500
Business Organization for Latino Development,sgfc,6249,0
Cadenza,sgfc,1543.8,936.25
Camp Kesem at UChicago,sgfc,0,0
Campus Catalyst,sgfc,1695,570
Cana,sgfc,10326.95,4333.87
Catholic Students Association,sgfc,11750,3530.75
Central Asian Studies Society,sgfc,6392,780
Chabad,sgfc,41900,10750
Charles River Economics Labs,sgfc,810,0
Chemistry Society (Benzene),sgfc,3095,1052
Chicago Economics Forum,sgfc,15275,4527.9
Chicago Italian Appreciation Organization,sgfc,3255,1076
Chicago Journal of Sociology,sgfc,3578,1678.5
Chicago Justice Initiative,sgfc,3300,0
Chicago Linguistic Society,sgfc,3540,2478
Chicago Shady Dealer,sgfc,4089.88,2010
Chicago Swing Dance Society,sgfc,8434,3530.75
Chinese Student Christian Fellowship,sgfc,33800,4527.9
Chinese Students and Scholars Association,sgfc,61300,11625
Chinese Undergraduate Students Association,sgfc,10590,4527.9
Christians on Campus,sgfc,8230,2324
CityStep UChicago,sgfc,389.75,369.75
College Republicans,sgfc,9418.37,100
Colombians at UChicago,sgfc,5115,1080
Commedia dell'Arte,sgfc,455,405
CS Student Activities Council,sgfc,12953.92,3530.75
Dance Council,sgfc,9565,4017
Data Science Society,sgfc,9705,2561.44
Dear Asian Youth,sgfc,11985,1845
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,sgfc,16910,3454.78
Dirt Red Brass Band,sgfc,1541,936.25
DoGS Lunch,sgfc,6080,2940
Eckhart Consulting,sgfc,2967,400
Edge Entrepreneurship,sgfc,6120,103.5
Emergency Medical Services,sgfc,16356,8178
Engineering Society,sgfc,4050,1725
ENoK - Empowerment/Emancipation of North Koreans,sgfc,2690,1237.5
Environmental Justice Task Force,sgfc,6450,660
Environmental Research Group,sgfc,660,300
Equestria,sgfc,20890,2077.5
Euphony Journal,sgfc,2925,1120
Everest Society,sgfc,26682,1804.5
EX Crew,sgfc,15930,4527.9
Festival of the Arts,sgfc,4200,2940
Firebird Magazine,sgfc,6844.99,2422.74
Folklore Society,sgfc,15008,4078.8
French Club,sgfc,1251,811
Furries at UChicago,sgfc,1050,936.25
Game Design,sgfc,1240,730
Gargoyle Consulting Club,sgfc,5600,2782.5
GeneHackers,sgfc,21600,10537.5
German Club,sgfc,3130,1608
Go Club,sgfc,2770,1669.5
Groove Theory,sgfc,17320,4527.9
Harris Community Action,sgfc,8645,1944.75
Hellenic Student Association,sgfc,4030,1791
High Fidelity Music Collective,sgfc,5850,3530.75
Hindu Sangam,sgfc,5149,2583
Hispanic and Luso-Brazilian Student Committee,sgfc,1500,730
Hong Kong Student Association,sgfc,10225,4527.9
Indonesian Student Association at The University of Chicago,sgfc,2253.75,332.75
International Leadership Council,sgfc,10700,1533.7
International Student Organization,sgfc,14485,4620
Jade Chinese Music Ensemble,sgfc,6685.23,3231.97
Japanese Student Association,sgfc,6000,3066
JGrads Chabad at UChicago,sgfc,18300.25,2835
Joint Research Safety Initiative,sgfc,7380,3276
Jugglers Enriching Lives Like Yours,sgfc,2470.5,1282.88
Kababayan,sgfc,4600,1500
Kappa Theta Pi,sgfc,9161,1020
"Kheyal, Bengali Student Association",sgfc,16173,4527.9
Kitchen Sink,sgfc,1830,0
Kreyòl Club,sgfc,1450,932.5
Latin American Matters,sgfc,23550,2175
Latine Law Students Association,sgfc,9600,3530.75
Latino Medical Student Association,sgfc,11500,1040
Law and Economics Society,sgfc,3100,1161.25
Le Vorris & Vox Circus,sgfc,5960,3454.5
Malaysian Students Association,sgfc,10100,1162.5
Maroon TV,sgfc,5800,3038
Maroons for Israel,sgfc,8550,3690
Math Club,sgfc,5550,2137.5
