RSO Name,Committee,Requested,Final Allocation
MECHA,sgfc,11975,2677.5
Med-ucate,sgfc,818,191
MEDLIFE,sgfc,1370,992
Medusa,sgfc,13400,1160
Memoryhouse,sgfc,2048.1,1329.17
Middle Eastern Studies Student Association,sgfc,6000,1950
Midwave Radio,sgfc,2040,936.25
Midway Ventures,sgfc,6228.1,1866.75
Mindscapes,sgfc,1800,400
Minorities in Public Policy Studies,sgfc,3380,3327.8
MODA,sgfc,14242,6296
Moneythink,sgfc,3092,932
Muslim Students Association,sgfc,61162,23370
National Society of Black Engineers,sgfc,1295,1036
NEURO Club,sgfc,3135,1976.25
neXus Dance Collective,sgfc,12246,4495.2
Nigerian Students Association,sgfc,17558,4996.75
Occam's Razor,sgfc,1350,675
Oeconomica,sgfc,29670,3360
Organization of Black Students,sgfc,13000,3530.75
Organization of Latin American Students,sgfc,20940,6750
Orthodox Christian Fellowship,sgfc,1490,936.25
Out for Business,sgfc,1150,840
OUTPatient,sgfc,655,475
Outside the Lines,sgfc,1905.62,936.25
Pakistan Students Association,sgfc,3300,1740
Paleontology Club,sgfc,380,380
Pareto Solutions,sgfc,8875,1161.25
Paul Douglas Institute,sgfc,7196,1572.9
Pediatric Health and Wellness Initiative,sgfc,1349,963.2
Pep Band,sgfc,1850,1161.25
Persian Cultural Society,sgfc,4749.43,0
Phoenix Development Fund,sgfc,805,180
Phoenix Farms,sgfc,4690,2692.9
Phoenix Funds,sgfc,3075,988
Phoenix Gaming,sgfc,8680,1837.5
Phoenix Sustainability Initiative,sgfc,15171.22,3530.75
Phoenix Tutoring,sgfc,600,600
Phoenix Undergraduate Biological Sciences Organization,sgfc,8900,3530.75
Platypus,sgfc,30020,4796
Poema,sgfc,2940,1845
Polish American Student Association,sgfc,571,500
Prism Consulting,sgfc,22230,0
Project Reproductive Freedom,sgfc,2745,940
Promontory Investment Research,sgfc,60410,9405
Public Policy Podcasts,sgfc,2129,936.25
Real Estate Investment Group,sgfc,8400,2954
Rhythm & Jews,sgfc,562.32,435
Rhythmic Bodies in Motion,sgfc,2720,1177.5
Run For Cover,sgfc,5133,2163
Rural Student Alliance,sgfc,2135,1342.5
Russian-speaking Student Association,sgfc,0,0
Scavenger Hunt,sgfc,6010,2698.5
Science Olympiad,sgfc,18447.6,5505.5
Sikh Student Association,sgfc,7629.99,3261.99
Singapore Society,sgfc,4500,1800
Sliced Bread,sgfc,5275,1500
Society for International Relations,sgfc,0,0
Society for Molecular Engineering,sgfc,9180,2696.4
Society for the Advancement of Chicanos and Native Americans in STEM,sgfc,4775,1706.25
Society of Asian Scientists and Engineers,sgfc,6890,1560
Society of Hispanic Professional Engineers,sgfc,20900,4527.9
Society of Physics Students,sgfc,5400,2856
Society of Women Engineers,sgfc,12782.15,1578.75
Society of Women in Physics,sgfc,3575,1545
Society of Women+ in Math,sgfc,4800,2429
South Asian Medical Student Association,sgfc,3575,900
South Asian Students’ Association,sgfc,24744,7860
South Side Free Music Program,sgfc,2084,1261.5
Sports Analytics Group at the University of Chicago,sgfc,3300,984
Student Global Health Alliance,sgfc,5320,700
Student National Medical Association - Graduate,sgfc,6290,3530.75
Student National Medical Association-Minority Association of Pre-Med Students,sgfc,1900,1161.25
Students for Justice in Palestine,sgfc,15968.99,3229.31
Sustainable Investing Group,sgfc,3350,500
TableTop Tuesdays,sgfc,1489,332.3
Taiwanese American Student Association,sgfc,17680.38,5725.7
Taiwanese Student Association,sgfc,4845,2051.25
TAMID Group,sgfc,14265,2397.5
Tap That!,sgfc,1066,936.25
Tennis Club,sgfc,9530,5463.7
The Black Graduate Coalition,sgfc,10183.98,2882.78
The Chicago Skeptics Society,sgfc,1030,30
The Classics Society,sgfc,9315,1492.5
The Derivatives Group,sgfc,0,0
The Glass Eyeball,sgfc,350,172
The Mark,sgfc,3636.25,1690.5
The Ransom Notes,sgfc,4917,1124
The South Side Free Clinic,sgfc,850,530
The Student Research Society,sgfc,1350,900
The Triple Helix,sgfc,10250,2139
The University of Chicago Chapter of Partners in Health Engage,sgfc,952,697
The University of Chicago Glee Club,sgfc,15461.57,5495.33
The University of Chicago Mexican Association,sgfc,26750,2555
Tiger Talks,sgfc,6250,2025
TriSCI,sgfc,30,30
UC Dancers,sgfc,3910,2107.5
UC Psych,sgfc,1700,936.25
UChicago Aag,sgfc,1390,715
UChicago Alt Protein Project,sgfc,48590,1511.25
UChicago Behavioral Economics Association,sgfc,7406,1256.25
UChicago Bhangra,sgfc,22876,5663.5
UChicago Biotechnology Association,sgfc,1660,410
UChicago Buddhist Association,sgfc,2900,1762.5
UChicago Ceramics,sgfc,17050,3530.75
UChicago Computational Biology Outreach,sgfc,700,700
UChicago Constructed Languages Society,sgfc,720,0
UChicago Effective Altruism,sgfc,1260,936.25
UChicago Geographic Studies Club,sgfc,1736,1189.5
UChicago Hillel,sgfc,8950,4922.5
UChicago M&A Group,sgfc,13820,3374
UChicago Mahjong,sgfc,1960,936.25
UChicago Maker Society,sgfc,1170,936.25
UChicago Maya Dance Company,sgfc,6981,3165.19
UChicago Pre-Dental Society,sgfc,4150,1040
UChicago Private Equity Club,sgfc,10430,1152
UChicago Quantum Society,sgfc,5000,3530.75
UChicago Quest+,sgfc,6400,1987.5
UChicago Space Program,sgfc,62359.52,17500
UChicago Transit Enthusiasts & Explorers,sgfc,1686.74,936.25
UChicago UNICEF,sgfc,6225,723
UChicago Vietnamese Student Association,sgfc,1004.75,898.99
UChicagOrigami,sgfc,1986,936.25
Undergraduate Investment Banking Group,sgfc,21150,4308
United Against Inequities in Disease,sgfc,4700,1570.45
University Ballet of Chicago,sgfc,11043,5485.15
University Ministry of Christ Church Chicago,sgfc,23359.81,5780.94
University of Chicago College Democrats,sgfc,8670,2080.13
University of Chicago Japanese Animation Society,sgfc,9920,3957
University of Chicago Undergraduate Law Magazine,sgfc,9460,2559.2
Voices in Your Head,sgfc,20295,2908.5
Windmill Chinese Drama Club,sgfc,5700,3530.75
Women in Business,sgfc,7750,1387.5
Women in Science,sgfc,2818.43,1112
Women Who Lift,sgfc,960,660
Women+ in Chemistry,sgfc,6600,1162.5
Women+ in Law,sgfc,900,600
Writers' Workshop,sgfc,1335,720
Alpha Kappa Psi (Beta Epsilon),csf,1565,1225
Alpha Phi Omega,csf,1355,337.5
American Red Cross of University of Chicago,csf,450,360
Arab Student Association,csf,4640,0
ArtShould,csf,600,0
Bridgeport Free Clinic,csf,1150,1150
Camp Kesem at University of Chicago,csf,975,0
Chicago Street Medicine,csf,4700,4700
CityStep UChicago,csf,1485.76,1485.76
Community Health Initiative,csf,11150,10345
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,csf,6000,0
Folklore Society,csf,400,0
Food Run Project,csf,31354.6,5097
Gargoyle Consulting Club,csf,450,0
Latine Law Students Association,csf,1100,0
Latino Medical Student Association,csf,1600,410
Med-ucate,csf,885.6,885.6
MEDLIFE,csf,150,0
Minorities in Public Policy Studies,csf,4384,4384
Moneythink,csf,11790.82,6395
Pediatric Health and Wellness Initiative,csf,490,490
Sikh Student Association,csf,600,540
Society for Molecular Engineering,csf,214.74,214.74
Society of Women Engineers,csf,2890,0
South Side Free Music Program,csf,3073.6,1914
"Supplies For Dreams, University of Chicago Chapter",csf,4968.26,2515
Tennis Club,csf,404,0
The Black Graduate Coalition,csf,1000,0
The South Side Free Clinic,csf,1500,1350
The University of Chicago Chapter of Partners in Health Engage,csf,500.31,0
TriSCI,csf,240,240
UChicago Alt Protein Project,csf,200,0
UChicago Computational Biology Outreach,csf,350,315
United Against Inequities in Disease,csf,8649.89,4450
MAB,pcc,305256.07,263646.64
University Theater,pcc,64150,44078.73
Fire Escape Films,pcc,28556.64,25599.64
Doc Films,pcc,62290.7,55370.93
WHPK,pcc,34936,26936
Game Music Ensemble,pcc,5781,5781
OAC,pcc,25604,24247.79
COUP,pcc,125000,124500
UChicago Chess Club,cat,37500,25471
Chicago Quiz Bowl,cat,30000,22712.92
Chicago Debate Society,cat,128171.75,103117.85
UChicago Mock Trial,cat,52500,49651.1
CHOMUN & Team,cat,88349.92,76343.98
UChicago Moot Court,cat,57371.5,57371.5
UChicago Bridge Club,cat,30720,20820
UChicago Ethics Bowl,cat,11183,5093.9
UChicago Robotics,cat,37125,31612.5
UChicago Fed Challenge,cat,8742.51,7688.26
UChicago Formula SAE,cat,43400,33400
Archery,scf,1920,1381.98
Badminton,scf,17820,5568.05
Barbell,scf,10630,4130.61
Boxing,scf,910,733.36
Cheer,scf,12820,2788.56
Crew,scf,126578.57,43591.41
Field Hockey,scf,21960.84,11152.89
Figure Skating,scf,600,0
Golf,scf,20155,10369.37
Grappling,scf,1625,0
Gymnastics,scf,1584.43,390.22
Kendo,scf,10580,4163.01
Men’s Ice Hockey,scf,35706,11421.1
Men’s Lacrosse,scf,37725,4997.46
Men’s Rugby,scf,51588.36,5496.64
Open Ultimate,scf,33540,12047.06
Pickleball,scf,5900,4586.96
Road Runners,scf,4396,4049.14
Sailing,scf,25650.5,6104.72
Shotokan Karate,scf,4420.6,834.2
Shin Shin Ki-Aikido,scf,11983.65,2132.93
Table Tennis,scf,11300,2702
Tae Kwon Do,scf,28682,7222.92
Triathlon,scf,19433.71,8099.49
Velo,scf,11131.92,1963.18
Volleyball,scf,23560,4886.76
Women’s Ice Hockey,scf,8490,8018.09
Women’s Rugby,scf,13761.67,7987.99
Womens & Non-Binary Ultimate,scf,15785,5797.24
