RSO Name,Request Description,Type,Requested,Final Allocation
Science Olympiad,Science Olympiad Socials,Event,900.0,0.0
Science Olympiad,Science Olympiad Club Meetings,Event,150.0,0.0
South Asian Students’ Association,SASA Family Program,Event,1650.0,1619.92
"Kheyal, Bengali Student Association",Bengali Year End Cultural Event Celebration (Makar Sankranti and Bôṛdin),Event,4008.48,2963.97
AI @ UChicago,CS123 Introduction to Building AI enabled Robots,Capital,3020.63,2000.0
American Medical Student Association,Pritzker Formal 2026,Event,23157.75,0.0
Arab Student Association,Funding Request For Kunafa and Karaoke Cultural Activity,Event,305.0,204.0
Edge Entrepreneurship,UChicago Edge Downtown Startup Speaker Visit,Event,528.0,0.0
Hong Kong Student Association,HKSA Thanksgiving Cultural Celebration,Event,800.0,0.0
JGrads Chabad at UChicago,Maimonides Lecture on Jewish Medical Ethics,Event,1728.96,948.96
JGrads Chabad at UChicago,Jewish Law Lecture,Event,1663.96,883.96
JGrads Chabad at UChicago,Pre-Chanukah Chanukiah-Making Workshop,Event,752.5,702.5
Pakistan Student Association,PSA Welcome Dinner,Event,500.0,0.0
The Glass Eyeball,Funds for Ida Noyes Darkroom,Event,200.0,184.43
UChicago Space Program,Funding request for UCSP Rocketry launch with Indiana Rocketry on 11/30,Travel,2134.38,0.0
Midwave Radio,Learn to DJ with Midwave Radio and WHPK,Event,1600.0,0.0
Rhythm & Jews,Rhythm & Jews Hanukkah Tour Food,Event,1416.0,1050.0
Classical Lecture Society,Classical Lecture Society Annual Lecture 1,Event,1400.0,1040.0
Classical Lecture Society,Classical Lecture Society Annual Lecture 2,Event,1500.0,1140.0
Gargoyle Consulting Club,Archer Career Consulting Prep: Ascent Series,Event,4350.0,3750.0
Taiwanese American Student Association,TASA Lunar New Year Formal,Event,1431.0,1411.0
Taiwanese American Student Association,TASA Presents: Sean Wang,Event,9317.0,3522.75
Asian American InterVarsity,AAIV Winter 2026 Retreat,Event,2222.9,2222.9
Go Club,"Funding Request for Go Club Equipment, AGA Memberships, and End-of-Quarter Snacks",Capital,914.0,674.0
